Index,Name,States,PopulationsAndPeople,IncomeAndPoverty ,Education,Employment,Housing,Health,BusinessAndEconomy,Families,RaceAndEthnicity
0,Alabama,1779775,5024279 ,53913 ,0.274 ,0.541 ,2288330 ,0.099 ,100955 ,1967559 ,264047 
1,Alaska,1785533,733391 ,77845 ,0.328 ,0.574 ,326200 ,0.114 ,21184 ,271311 ,49824 
2,American Samoa,1802701,0 ,0 ,0.000 ,0.000 ,0 ,0.000 ,0 ,0 ,0 
3,Arizona,1779777,7151502 ,69056 ,0.324 ,0.566 ,3082000 ,0.107 ,149829 ,2817723 ,2192253 
4,Arkansas,68085,3011524 ,52528 ,0.253 ,0.550 ,1365265 ,0.092 ,67586 ,1183675 ,256847 
5,California,1779778,39538223 ,84907 ,0.362 ,0.576 ,14392140 ,0.070 ,981369 ,13429063 ,15579652 
6,Colorado,1779779,5773714 ,82254 ,0.444 ,0.636 ,2491404 ,0.080 ,175965 ,2313042 ,1263390 
7,Commonwealth of the Northern Mariana Islands,1779809,0 ,0 ,0.000 ,0.000 ,0 ,0.000 ,0 ,0 ,0 
8,Connecticut,1779780,3605944 ,83771 ,0.421 ,0.609 ,1530197 ,0.052 ,88060 ,1428313 ,623293 
9,Delaware,1779781,989948 ,71091 ,0.356 ,0.562 ,448735 ,0.057 ,27472 ,395656 ,104290 
10,District of Columbia,1702382,689545 ,90088 ,0.630 ,0.642 ,350364 ,0.037 ,24083 ,319565 ,77652 
11,Florida,294478,21538187 ,63062 ,0.332 ,0.554 ,9865350 ,0.121 ,591046 ,8565329 ,5697240 
12,Georgia,1705317,10711908 ,66559 ,0.346 ,0.587 ,4410956 ,0.126 ,244668 ,4001109 ,1123457 
13,Guam,1802705,0 ,0 ,0.000 ,0.000 ,0 ,0.000 ,0 ,0 ,0 
14,Hawaii,1779782,1455271 ,84857 ,0.353 ,0.546 ,561066 ,0.039 ,32627 ,490080 ,138923 
15,Idaho,1779783,1839106 ,66474 ,0.307 ,0.607 ,751859 ,0.088 ,51957 ,693882 ,239407 
16,Illinois,1779784,12812508 ,72205 ,0.371 ,0.596 ,5426429 ,0.070 ,318689 ,4991641 ,2337410 
17,Indiana,448508,6785528 ,62743 ,0.289 ,0.603 ,2923175 ,0.075 ,148724 ,2690694 ,554191 
18,Iowa,1779785,3190369 ,65600 ,0.305 ,0.636 ,1412789 ,0.048 ,82440 ,1300467 ,215986 
19,Kansas,481813,2937880 ,64124 ,0.354 ,0.621 ,1275689 ,0.092 ,73982 ,1159026 ,382603 
20,Kentucky,1779786,4505836 ,55573 ,0.270 ,0.551 ,1994323 ,0.057 ,90922 ,1785682 ,207854 
21,Louisiana,1629543,4657757 ,52087 ,0.264 ,0.534 ,2073200 ,0.076 ,106230 ,1783924 ,322549 
22,Maine,1779787,1362359 ,64767 ,0.360 ,0.582 ,739072 ,0.057 ,41646 ,593626 ,26609 
23,Maryland,1714934,6177224 ,90203 ,0.425 ,0.619 ,2530844 ,0.061 ,139734 ,2355652 ,729745 
24,Massachusetts,606926,7029917 ,89645 ,0.466 ,0.623 ,2998537 ,0.025 ,179456 ,2759018 ,887685 
25,Michigan,1779789,10077331 ,63498 ,0.317 ,0.566 ,4570173 ,0.050 ,221060 ,4051798 ,564422 
26,Minnesota,662849,5706494 ,77720 ,0.389 ,0.650 ,2485558 ,0.045 ,150819 ,2281033 ,345640 
27,Mississippi,1779790,33144928 ,69717 ,0.350 ,0.586 ,140498736 ,0.086 ,8000178 ,127544730 ,62080044 
